-- 커피
BEVERAGE | 티 | ICE 유자티 | 3500 | 아이스,유자티
BEVERAGE | 티 | HOT 유자티 | 3500 | 핫,유자티
BEVERAGE | 티 | ICE 자몽허니블랙티 | 3800 | 아이스,자몽허니블랙티
BEVERAGE | 티 | HOT 자몽허니블랙티 | 3800 | 핫,자몽허니블랙티

-- 전통차
BEVERAGE | 전통차 | ICE 매실차 | 2900 | 아이스,매실차
BEVERAGE | 전통차 | HOT 매실차 | 2900 | 핫,매실차
BEVERAGE | 전통차 | 쌍화차 | 2900 | 차
BEVERAGE | 전통차 | 대추차 | 2900 | 차
BEVERAGE | 전통차 | 청귤 생강차 | 3500 | 생강차

-- 아이스크림
BEVERAGE | 아이스크림 | 아이스크림 컵 | 3500 |
BEVERAGE | 아이스크림 | 아포카토 | 4500 |
BEVERAGE | 아이스크림 | 아이스크림 라떼 | 4800 | 라떼
BEVERAGE | 아이스크림 | 아이스크림 모카 | 4800 | 모카
BEVERAGE | 아이스크림 | 아이스크림 초코딸기 | 4800 | 초코딸기
BEVERAGE | 아이스크림 | 아이스크림 자바칩 | 5300 | 자바칩
BEVERAGE | 아이스크림 | 아이스크림 쿠키앤초코 | 5300 | 쿠키앤초코
BEVERAGE | 아이스크림 | 아이스크림 민트초코 | 5300 | 민트초코

-- 와플
DESSERT | 와플 | 사과생크림와플 | 3000 |
DESSERT | 와플 | 오레오생크림와플 | 3500 |
DESSERT | 와플 | 시나몬카라멜와플 | 3500 |

-- 빵
DESSERT | 빵 | 이즈니버터소금빵 | 2800 | 소금빵
DESSERT | 빵 | 감자빵 | 3000 |
DESSERT | 빵 | 고구마빵 | 3000 |
DESSERT | 빵 | 팥미니붕어빵 | 2000 | 붕어빵,미니붕어빵
DESSERT | 빵 | 슈크림미니붕어빵 | 2000 | 붕어빵,미니붕어빵
DESSERT | 빵 | 커피콩빵 | 2000 | 콩빵
DESSERT | 빵 | [단품] 허니버터브래드 | 1500 | 브래드,허니버터브래드
DESSERT | 빵 | [콤보] 허니버터브래드 | 1400 | 브래드,허니버터브래드
DESSERT | 빵 | [단품] 햄치즈샌드위치 | 3600 | 햄치즈샌드위치,샌드위치
DESSERT | 빵 | [콤보] 햄치즈샌드위치 | 3500 | 햄치즈샌드위치,샌드위치
DESSERT | 빵 | 바질치아바타 샌드위치 | 3500 | 바질치아바타센드위치,센드위치,샌드위치

-- 크룽지
DESSERT | 크룽지 | 메이플크룽지 | 1500 |
DESSERT | 크룽지 | 시나몬크룽지 | 1500 |

-- 쿠키
DESSERT | 쿠키 | 초코칩 블랙&화이트 쿠키 | 1800 | 블랙화이트쿠키,화이트쿠키
DESSERT | 쿠키 | 너츠&브라우니 큐브 쿠키 | 1800 | 브라우니 큐브 쿠키
DESSERT | 쿠키 | 화이트 초코칩&마카다미아 쿠키 | 1800 | 초코칩마카다미아쿠키,마카다미아쿠키
DESSERT | 쿠키 | 다크초코칩쿠키 | 2900 | 초코칩쿠키
DESSERT | 쿠키 | 더블초코칩쿠키 | 2900 | 초코칩쿠키
DESSERT | 쿠키 | 오트밀크랜베리쿠키 | 2900 |
DESSERT | 쿠키 | 피스타치오아몬드쿠키 | 2900 |
DESSERT | 쿠키 | 마시멜로우코코넛쿠키 | 2900 | 마쉬멜로우코코넛쿠키
DESSERT | 쿠키 | 까망베르치즈단백질쿠키 | 2500 |
DESSERT | 쿠키 | 체다치즈단백질쿠키 | 2500 |
DESSERT | 쿠키 | 붕어마시멜로쿠키 | 3500 | 마시멜로
DESSERT | 쿠키 | [단품] 브라운붕어딕만스쿠키 | 3600 | 붕어딕만스쿠키,브라운붕어딕만스쿠키
DESSERT | 쿠키 | [콤보] 브라운붕어딕만스쿠키 | 3500 | 붕어딕만스쿠키,브라운붕어딕만스쿠키
DESSERT | 쿠키 | [단품] 초코볼 | 2000 | 초코볼
DESSERT | 쿠키 | [콤보] 초코볼 | 1900 | 초코볼

-- 도넛
DESSERT | 도넛 | 크림치즈도넛 | 3500 |
DESSERT | 도넛 | 커스터드도넛 | 3500 |

-- 카스테라
DESSERT | 카스테라 | 생크림카스테라화이트 | 4500 | 화이트
DESSERT | 카스테라 | 슈크림카스테라 | 4500 |

-- 롤케이크
DESSERT | 롤케이크 | 화이트생크림롤케이크 | 4500 | 생크림롤케이크
DESSERT | 롤케이크 | 오트밀생크림롤케이크 | 4500 | 생크림롤케이크
DESSERT | 롤케이크 | 초코생크림롤케이크 | 4500 | 생크림롤케이크

-- 케익
DESSERT | 케익 | 뉴욕치즈케익 | 3500 | 치즈케익
DESSERT | 케익 | 티라미수 | 3000 | 케익
DESSERT | 케익 | 달콤레드벨벳케익 | 3500 | 레드벨벳케익
DESSERT | 케익 | 달콤블랙벨벳케익 | 3500 | 블랙벨벳케익

-- 마카롱
DESSERT | 마카롱 | 모카마카롱 | 1800 |
DESSERT | 마카롱 | 바닐라마카롱 | 1800 |
DESSERT | 마카롱 | 산딸기마카롱 | 1800 |
DESSERT | 마카롱 | 초코마카롱 | 1800 |
DESSERT | 마카롱 | 카라멜마카롱 | 1800 |
DESSERT | 마카롱 | 블루베리마카롱 | 1800 |

-- 초콜릿
DESSERT | 초콜릿 | 달고나다크초콜릿 | 2000 | 다크초콜릿
DESSERT | 초콜릿 | 달고나녹차초콜릿 | 2000 | 녹차초콜릿
DESSERT | 초콜릿 | 브리틀밀크초콜릿 | 2000 | 밀크초콜릿

-- 팝콘
DESSERT | 팝콘 | [단품] 버터팝콘 | 800 | 버터팝콘
DESSERT | 팝콘 | [콤보] 버터팝콘 | 700 | 버터팝콘
DESSERT | 팝콘 | [단품] 말차팝콘 | 1400 | 말차팝콘
DESSERT | 팝콘 | [콤보] 말차팝콘 | 1300 | 말차팝콘
DESSERT | 팝콘 | [단품] 더블샷카라멜팝콘 | 1300 | 더블샷카라멜팝콘
DESSERT | 팝콘 | [콤보] 더블샷카라멜팝콘 | 1200 | 더블샷카라멜팝콘
DESSERT | 팝콘 | [단품] 벚꽃팝콘 | 1300 | 벚꽃팝콘
DESSERT | 팝콘 | [콤보] 벚꽃팝콘 | 1200 | 벚꽃팝콘

-- 크로플
DESSERT | 빵 | [단품] 크로플 | 2000 | 크로플
DESSERT | 빵 | [콤보] 크로플 | 1900 | 크로플
DESSERT | 빵 | 크로와플 | 2500 |

-- 마시멜로
DESSERT | 마시멜로 | [단품] 초코마시멜로 | 2600 | 초코마시멜로
DESSERT | 마시멜로 | [콤보] 초코마시멜로 | 2500 | 초코마시멜로

-- 쫀득쿠키
